offer_expiration(hrs),income_range,shaadi,restaurant_type,age,western/chinese,gender,restuarant_same_direction_house,cooks_regularly,customer_type,education,is_foodie,industry,children,visit_restaurant_with_rating_(avg),temperature,travel_time,climate,drop_location,prefer_home_food,offer_accepted
10,12500,Widowed,Cold drinks,52,1,Male,0,0,With Colleagues,Some college - no degree,0,Installation Maintenance & Repair,0,3,89,18,Summer,Location A,0,Yes
48,100000,Married partner,Take-away restaurant,31,1,Female,0,1,Individual,Some college - no degree,1,Arts Design Entertainment Sports & Media,0,1,89,18,Spring,Location B,1,Yes
48,56249.5,Single,2 star restaurant,46,0,Female,0,0,With Colleagues,Some college - no degree,0,Education&Training&Library,1,3,89,7,Summer,Location C,0,Yes
48,18749.5,Single,Cold drinks,31,1,Female,1,0,With Colleagues,Bachelors degree,0,Legal,1,1,89,7,Summer,Location C,1,Yes
48,31249.5,Married partner,Take-away restaurant,52,1,Female,0,1,With Colleagues,Some college - no degree,0,Education&Training&Library,1,1,67,14,Spring,Location A,0,No
10,100000,Married partner,Cold drinks,52,1,Male,1,1,Individual,Bachelors degree,0,Unemployed,1,2,40,22,Summer,Location A,1,Yes
48,31249.5,Single,4 star restaurant,21,1,Female,0,1,With Colleagues,Associates degree,1,Sales & Related,0,2,67,22,Summer,Location B,1,No
10,31249.5,Unmarried partner,4 star restaurant,36,1,Male,0,1,Individual,Some college - no degree,0,Construction & Extraction,0,3,67,10,Winter,Location A,0,Yes
10,56249.5,Single,Take-away restaurant,52,1,Female,0,1,With Colleagues,Graduate degree (Masters or Doctorate),1,Arts Design Entertainment Sports & Media,1,1,40,10,Spring,Location B,1,No
10,43749.5,Married partner,2 star restaurant,26,1,Female,0,1,With Colleagues,Bachelors degree,0,Architecture & Engineering,1,3,67,10,Summer,Location B,1,Yes
10,56249.5,Single,2 star restaurant,26,0,Male,1,0,Individual,Bachelors degree,0,Sales & Related,0,2,67,10,Summer,Location B,1,No
10,68749.5,Married partner,Take-away restaurant,52,0,Female,0,0,Individual,Some college - no degree,1,Legal,0,0,67,10,Summer,Location B,0,No
10,81249.5,Married partner,Cold drinks,52,0,Male,1,1,With Kids,Associates degree,1,Community & Social Services,0,4,40,7,Summer,Location B,0,No
48,56249.5,Single,4 star restaurant,26,1,Female,0,1,With Kids,Bachelors degree,0,Food Preparation & Serving Related,0,0,40,10,Summer,Location A,1,Yes
10,31249.5,Single,Cold drinks,26,0,Female,0,0,With Colleagues,Bachelors degree,0,Unemployed,0,3,89,18,Summer,Location A,0,Yes
48,68749.5,Married partner,Take-away restaurant,31,0,Male,0,0,With Colleagues,Graduate degree (Masters or Doctorate),0,Education&Training&Library,0,4,40,22,Spring,Location A,0,Yes
10,18749.5,Divorced,Cold drinks,52,0,Female,0,0,With Colleagues,Graduate degree (Masters or Doctorate),1,Retired,1,4,89,14,Winter,Location A,1,No
10,31249.5,Single,Restaurant with pub,26,1,Female,0,1,With Colleagues,Bachelors degree,1,Unemployed,0,1,40,10,Winter,Location B,0,No
10,100000,Unmarried partner,Cold drinks,52,0,Male,1,0,Individual,Bachelors degree,1,Business & Financial,0,1,67,18,Summer,Location B,0,Yes
10,81249.5,Unmarried partner,2 star restaurant,26,1,Female,0,0,Individual,Bachelors degree,0,Sales & Related,0,4,67,7,Winter,Location A,1,Yes
10,100000,Single,Cold drinks,26,1,Female,1,0,With Family,Bachelors degree,0,Business & Financial,0,3,89,18,Summer,Location B,0,Yes
10,68749.5,Single,Cold drinks,26,1,Male,0,1,Individual,Bachelors degree,1,Unemployed,0,0,67,22,Winter,Location A,0,No
48,12500,Unmarried partner,Cold drinks,41,1,Female,0,0,Individual,Some college - no degree,1,Unemployed,1,0,67,18,Spring,Location B,0,Yes
48,43749.5,Single,Cold drinks,26,1,Female,0,0,Individual,Some college - no degree,0,Healthcare Support,0,1,89,10,Winter,Location C,1,Yes
48,81249.5,Married partner,Cold drinks,36,1,Male,0,1,With Family,Bachelors degree,0,Business & Financial,1,3,89,22,Winter,Location A,1,No
10,56249.5,Married partner,4 star restaurant,26,1,Female,0,1,With Kids,Bachelors degree,0,Office & Administrative Support,0,2,67,18,Summer,Location B,0,No
48,81249.5,Married partner,Cold drinks,41,0,Male,0,0,With Colleagues,Associates degree,1,Unemployed,1,4,67,7,Summer,Location C,1,Yes
10,18749.5,Single,Restaurant with pub,21,1,Female,0,1,With Colleagues,Bachelors degree,0,Arts Design Entertainment Sports & Media,0,1,89,7,Summer,Location A,0,No
10,56249.5,Married partner,Take-away restaurant,21,1,Female,0,1,Individual,Associates degree,1,Community & Social Services,1,4,89,14,Summer,Location A,0,No
10,56249.5,Single,Restaurant with pub,26,1,Male,0,1,With Colleagues,Bachelors degree,1,Computer & Mathematical,0,1,67,18,Summer,Location A,1,No
48,56249.5,Unmarried partner,4 star restaurant,31,0,Male,1,1,Individual,Graduate degree (Masters or Doctorate),0,Computer & Mathematical,0,1,89,10,Summer,Location C,0,No
10,100000,Single,Cold drinks,31,0,Male,0,0,With Family,Bachelors degree,1,Management,0,0,89,18,Summer,Location A,1,No
48,100000,Single,Take-away restaurant,21,0,Female,0,0,Individual,High School Graduate,0,Unemployed,0,4,40,7,Summer,Location C,0,Yes
48,81249.5,Married partner,4 star restaurant,31,1,Male,0,0,Individual,Bachelors degree,1,Computer & Mathematical,1,0,89,22,Summer,Location B,1,No
10,18749.5,Unmarried partner,Take-away restaurant,26,0,Female,0,1,Individual,Associates degree,0,Office & Administrative Support,0,4,67,18,Winter,Location B,1,No
48,100000,Married partner,Take-away restaurant,36,1,Male,1,1,Individual,Bachelors degree,0,Arts Design Entertainment Sports & Media,0,4,89,22,Summer,Location B,0,Yes
10,43749.5,Unmarried partner,2 star restaurant,26,0,Female,1,0,With Kids,Graduate degree (Masters or Doctorate),1,Legal,0,3,89,18,Summer,Location B,1,No
48,93749.5,Married partner,Cold drinks,31,1,Male,0,1,Individual,Bachelors degree,0,Management,0,2,89,14,Summer,Location B,1,Yes
48,56249.5,Unmarried partner,2 star restaurant,26,0,Male,0,0,With Colleagues,Some college - no degree,1,Sales & Related,0,3,89,10,Summer,Location B,1,Yes
10,68749.5,Single,Take-away restaurant,26,0,Male,0,1,Individual,Bachelors degree,1,Unemployed,1,1,67,22,Winter,Location A,0,Yes
10,93749.5,Unmarried partner,4 star restaurant,46,1,Female,1,0,Individual,Some college - no degree,0,Management,0,3,67,18,Spring,Location B,1,Yes
48,12500,Single,Cold drinks,21,1,Male,0,0,Individual,Some college - no degree,0,Student,0,3,40,22,Spring,Location A,1,Yes
10,56249.5,Unmarried partner,Restaurant with pub,26,0,Female,1,0,Individual,Some college - no degree,0,Office & Administrative Support,0,1,40,22,Winter,Location B,1,No
48,12500,Single,Take-away restaurant,31,1,Female,0,0,With Colleagues,High School Graduate,0,Healthcare Support,0,3,67,18,Summer,Location C,0,No
48,31249.5,Single,2 star restaurant,26,0,Male,0,0,With Kids,Bachelors degree,0,Community & Social Services,0,3,67,22,Summer,Location A,1,Yes
48,12500,Single,Restaurant with pub,21,0,Female,0,0,Individual,Some college - no degree,1,Student,0,3,40,7,Summer,Location C,0,No
10,43749.5,Unmarried partner,Restaurant with pub,21,1,Female,0,0,With Colleagues,Bachelors degree,0,Unemployed,0,4,67,18,Winter,Location A,1,No
48,56249.5,Married partner,4 star restaurant,31,1,Female,1,0,Individual,Associates degree,0,Student,1,4,67,14,Spring,Location C,1,No
48,12500,Unmarried partner,Take-away restaurant,21,0,Female,0,1,Individual,Some college - no degree,1,Student,0,2,40,18,Summer,Location B,1,Yes
48,81249.5,Married partner,Cold drinks,21,0,Male,0,0,With Kids,Bachelors degree,1,Architecture & Engineering,0,4,89,10,Summer,Location A,1,Yes
48,12500,Married partner,2 star restaurant,52,0,Female,0,0,Individual,Bachelors degree,1,Office & Administrative Support,0,1,40,14,Spring,Location B,1,Yes
10,100000,Single,Take-away restaurant,21,1,Male,1,1,With Family,Bachelors degree,0,Student,0,1,89,7,Spring,Location A,0,No
10,43749.5,Married partner,2 star restaurant,52,1,Male,0,0,Individual,Associates degree,1,Retired,1,2,67,14,Summer,Location B,0,Yes
48,68749.5,Married partner,4 star restaurant,36,1,Male,0,1,Individual,Bachelors degree,0,Sales & Related,1,1,89,22,Summer,Location B,1,Yes
10,100000,Married partner,Cold drinks,26,1,Male,0,0,Individual,Bachelors degree,1,Healthcare Practitioners & Technical,0,2,40,7,Summer,Location C,1,No
10,18749.5,Married partner,Restaurant with pub,21,0,Female,1,0,With Family,Some High School,0,Arts Design Entertainment Sports & Media,0,0,89,7,Summer,Location C,1,Yes
10,93749.5,Married partner,2 star restaurant,41,0,Female,0,1,Individual,Graduate degree (Masters or Doctorate),0,Business & Financial,1,0,40,7,Spring,Location C,0,No
48,18749.5,Married partner,Take-away restaurant,46,0,Male,1,0,Individual,Bachelors degree,1,Construction & Extraction,0,3,89,18,Summer,Location B,0,Yes
48,31249.5,Single,Restaurant with pub,31,0,Female,0,1,Individual,High School Graduate,1,Healthcare Support,0,1,40,22,Spring,Location B,1,Yes
48,81249.5,Unmarried partner,Take-away restaurant,26,1,Female,0,0,Individual,Some college - no degree,1,Sales & Related,1,4,67,10,Summer,Location A,1,No
48,81249.5,Single,Cold drinks,31,1,Female,1,0,Individual,Associates degree,1,Arts Design Entertainment Sports & Media,0,1,40,7,Summer,Location C,1,No
48,56249.5,Unmarried partner,4 star restaurant,31,0,Female,0,1,With Kids,Graduate degree (Masters or Doctorate),1,Life Physical Social Science,1,0,40,10,Spring,Location A,1,No
10,56249.5,Single,Take-away restaurant,21,0,Female,0,1,With Colleagues,Bachelors degree,1,Architecture & Engineering,0,3,67,22,Summer,Location A,1,Yes
48,100000,Married partner,Cold drinks,52,1,Male,0,0,With Colleagues,Associates degree,0,Personal Care & Service,0,0,89,10,Winter,Location A,0,No
48,100000,Married partner,Take-away restaurant,52,0,Male,0,0,With Colleagues,Graduate degree (Masters or Doctorate),1,Healthcare Practitioners & Technical,1,2,40,10,Spring,Location A,0,Yes
48,68749.5,Married partner,Cold drinks,26,0,Female,1,0,With Colleagues,Graduate degree (Masters or Doctorate),0,Unemployed,1,3,89,10,Summer,Location A,0,Yes
10,93749.5,Unmarried partner,Take-away restaurant,31,1,Male,1,0,Individual,Bachelors degree,0,Management,0,1,40,18,Spring,Location A,1,No
48,31249.5,Married partner,Cold drinks,52,1,Female,0,0,With Colleagues,Some college - no degree,1,Business & Financial,0,0,89,10,Summer,Location A,1,No
48,43749.5,Single,4 star restaurant,26,1,Male,0,1,With Colleagues,High School Graduate,1,Unemployed,0,4,89,14,Summer,Location A,1,Yes
10,56249.5,Unmarried partner,4 star restaurant,52,1,Male,0,0,Individual,Associates degree,1,Transportation & Material Moving,1,3,67,22,Summer,Location A,0,No
10,56249.5,Single,Cold drinks,31,1,Female,0,1,Individual,Graduate degree (Masters or Doctorate),0,Life Physical Social Science,0,1,67,7,Summer,Location C,1,No
10,18749.5,Single,Cold drinks,31,0,Male,0,1,With Kids,Bachelors degree,0,Construction & Extraction,0,3,67,18,Summer,Location A,0,No
10,56249.5,Married partner,Cold drinks,36,0,Female,0,1,Individual,Graduate degree (Masters or Doctorate),0,Arts Design Entertainment Sports & Media,1,3,89,14,Summer,Location C,0,Yes
48,68749.5,Married partner,Restaurant with pub,36,0,Male,0,0,With Family,Bachelors degree,1,Sales & Related,1,3,67,22,Summer,Location B,0,Yes
48,56249.5,Single,Take-away restaurant,52,0,Male,0,0,With Kids,Some college - no degree,0,Computer & Mathematical,1,3,89,14,Winter,Location A,1,No
48,12500,Unmarried partner,Cold drinks,21,1,Female,1,0,Individual,Some college - no degree,0,Food Preparation & Serving Related,1,3,89,18,Summer,Location C,0,Yes
10,56249.5,Married partner,2 star restaurant,41,1,Male,0,1,Individual,Some college - no degree,0,Computer & Mathematical,1,0,89,18,Summer,Location A,1,Yes
10,43749.5,Single,2 star restaurant,26,0,Male,0,0,With Colleagues,Graduate degree (Masters or Doctorate),1,Education&Training&Library,0,0,67,14,Summer,Location B,1,No
10,56249.5,Single,Cold drinks,21,1,Female,1,1,Individual,Some college - no degree,1,Student,0,1,89,7,Summer,Location C,0,No
10,100000,Married partner,2 star restaurant,41,0,Female,0,0,With Kids,Bachelors degree,0,Business & Financial,1,0,89,10,Summer,Location A,0,No
10,56249.5,Married partner,Cold drinks,36,1,Female,0,0,With Kids,Bachelors degree,1,Computer & Mathematical,0,0,89,14,Summer,Location A,0,No
48,56249.5,Married partner,Cold drinks,26,0,Male,1,1,With Kids,Bachelors degree,1,Education&Training&Library,0,2,89,14,Winter,Location B,1,Yes
48,43749.5,Married partner,Restaurant with pub,52,1,Male,0,1,Individual,Some college - no degree,0,Computer & Mathematical,1,0,67,18,Summer,Location B,1,Yes
48,81249.5,Married partner,Take-away restaurant,41,0,Female,0,0,With Colleagues,Graduate degree (Masters or Doctorate),1,Business & Financial,1,0,40,22,Spring,Location A,0,Yes
10,18749.5,Divorced,Cold drinks,31,1,Female,0,1,With Kids,Some college - no degree,0,Food Preparation & Serving Related,1,4,67,7,Summer,Location B,0,No
48,100000,Single,Take-away restaurant,26,1,Male,0,1,Individual,Bachelors degree,1,Business & Financial,0,3,40,10,Spring,Location B,0,Yes
48,31249.5,Unmarried partner,4 star restaurant,21,1,Female,0,0,With Colleagues,Some college - no degree,1,Office & Administrative Support,0,4,89,22,Spring,Location A,0,Yes
48,12500,Single,4 star restaurant,46,1,Male,1,1,Individual,Some college - no degree,0,Production Occupations,0,0,40,18,Summer,Location C,1,Yes
48,31249.5,Single,Cold drinks,21,0,Female,0,0,Individual,Some college - no degree,1,Management,0,3,89,14,Summer,Location C,1,No
10,100000,Single,Cold drinks,21,1,Female,0,1,Individual,Some college - no degree,0,Student,0,4,89,10,Summer,Location A,0,No
10,56249.5,Single,Restaurant with pub,21,0,Male,0,0,With Colleagues,Some college - no degree,1,Student,0,0,40,14,Summer,Location B,0,Yes
48,12500,Single,Restaurant with pub,52,0,Female,0,1,Individual,Bachelors degree,1,Unemployed,0,2,67,18,Summer,Location B,0,No
48,56249.5,Single,Restaurant with pub,21,0,Male,0,0,With Colleagues,Bachelors degree,1,Business & Financial,0,4,67,14,Summer,Location A,1,Yes
10,81249.5,Single,4 star restaurant,26,0,Male,1,0,Individual,High School Graduate,0,Management,0,0,40,14,Winter,Location B,0,Yes
10,68749.5,Married partner,Restaurant with pub,31,1,Female,0,0,Individual,Graduate degree (Masters or Doctorate),0,Computer & Mathematical,1,4,67,18,Summer,Location B,1,No
48,12500,Single,4 star restaurant,31,1,Female,0,1,With Colleagues,Associates degree,1,Unemployed,0,3,89,22,Summer,Location A,0,Yes
48,31249.5,Single,2 star restaurant,52,0,Male,0,1,Individual,Bachelors degree,1,Sales & Related,0,3,89,7,Summer,Location C,0,Yes
48,93749.5,Married partner,4 star restaurant,31,0,Female,1,0,Individual,Associates degree,1,Student,1,1,40,10,Summer,Location C,1,No
48,18749.5,Single,Take-away restaurant,26,0,Male,0,0,With Kids,Bachelors degree,1,Management,1,2,89,22,Spring,Location C,0,No
48,56249.5,Unmarried partner,4 star restaurant,26,1,Female,0,0,Individual,Bachelors degree,1,Education&Training&Library,0,4,40,10,Summer,Location C,1,No
10,100000,Married partner,Cold drinks,26,0,Female,0,0,With Kids,Bachelors degree,1,Computer & Mathematical,1,1,89,22,Winter,Location C,0,Yes
48,100000,Unmarried partner,4 star restaurant,21,0,Male,0,1,With Colleagues,Some college - no degree,0,Office & Administrative Support,0,2,67,10,Winter,Location B,0,Yes
10,100000,Married partner,2 star restaurant,46,0,Male,0,1,With Family,Bachelors degree,0,Management,1,3,89,7,Spring,Location A,0,No
10,43749.5,Unmarried partner,Take-away restaurant,31,1,Female,1,1,Individual,Some college - no degree,1,Arts Design Entertainment Sports & Media,1,2,40,18,Summer,Location B,1,Yes
48,31249.5,Single,Restaurant with pub,26,1,Female,0,0,Individual,Bachelors degree,1,Computer & Mathematical,0,0,40,7,Spring,Location C,0,No
48,81249.5,Married partner,Take-away restaurant,31,1,Male,0,1,With Colleagues,Bachelors degree,1,Architecture & Engineering,0,0,40,10,Summer,Location A,0,Yes
48,56249.5,Married partner,Cold drinks,18,0,Female,0,1,Individual,Graduate degree (Masters or Doctorate),1,Student,0,1,89,18,Winter,Location A,0,Yes
48,93749.5,Married partner,2 star restaurant,41,0,Male,0,1,With Colleagues,Some college - no degree,0,Transportation & Material Moving,0,1,89,18,Winter,Location B,0,Yes
10,100000,Single,Restaurant with pub,52,0,Female,0,0,With Colleagues,High School Graduate,1,Installation Maintenance & Repair,0,1,67,10,Summer,Location A,0,No
48,68749.5,Single,Cold drinks,36,0,Female,1,0,With Family,Associates degree,1,Student,1,3,40,7,Summer,Location A,0,No
48,100000,Married partner,Take-away restaurant,26,0,Female,0,1,Individual,Bachelors degree,0,Computer & Mathematical,1,4,67,18,Spring,Location B,0,Yes
48,100000,Single,2 star restaurant,21,1,Male,0,1,With Colleagues,Some college - no degree,1,Student,0,3,40,14,Winter,Location A,1,Yes
10,18749.5,Single,Take-away restaurant,26,1,Male,0,0,Individual,Graduate degree (Masters or Doctorate),0,Sales & Related,0,4,67,22,Summer,Location C,1,No
10,18749.5,Single,Cold drinks,26,1,Male,0,1,With Kids,Bachelors degree,1,Arts Design Entertainment Sports & Media,0,0,89,7,Summer,Location A,1,No
10,18749.5,Unmarried partner,2 star restaurant,26,1,Male,0,1,With Colleagues,Some college - no degree,1,Unemployed,0,0,67,14,Winter,Location C,0,No
48,68749.5,Unmarried partner,Cold drinks,31,0,Female,0,1,Individual,Bachelors degree,0,Computer & Mathematical,1,0,40,7,Spring,Location A,0,No
48,100000,Married partner,Take-away restaurant,36,0,Male,1,1,With Family,Associates degree,0,Computer & Mathematical,1,3,40,7,Winter,Location C,0,Yes
10,12500,Married partner,Take-away restaurant,52,1,Female,0,0,Individual,Associates degree,0,Education&Training&Library,1,0,67,7,Winter,Location C,0,Yes
48,100000,Single,2 star restaurant,26,1,Male,0,0,With Colleagues,Bachelors degree,1,Business & Financial,0,3,40,10,Summer,Location A,0,Yes
48,93749.5,Married partner,Take-away restaurant,36,1,Male,0,0,With Family,Graduate degree (Masters or Doctorate),1,Transportation & Material Moving,1,0,89,10,Summer,Location A,0,No
48,43749.5,Unmarried partner,Restaurant with pub,31,0,Female,0,0,Individual,Bachelors degree,0,Sales & Related,1,2,89,18,Summer,Location A,0,No
48,31249.5,Single,Restaurant with pub,46,1,Male,0,0,Individual,Some college - no degree,0,Unemployed,0,3,89,10,Summer,Location C,1,No
48,18749.5,Single,Cold drinks,21,1,Female,0,1,With Colleagues,Some college - no degree,0,Sales & Related,0,2,89,14,Spring,Location A,0,No
48,100000,Single,Restaurant with pub,41,1,Female,0,0,With Colleagues,Associates degree,1,Education&Training&Library,1,2,89,14,Winter,Location A,1,No
10,43749.5,Unmarried partner,Cold drinks,21,0,Female,0,0,With Kids,High School Graduate,1,Student,0,1,40,7,Spring,Location C,1,No
10,81249.5,Unmarried partner,Cold drinks,26,0,Male,0,0,Individual,Some college - no degree,1,Unemployed,0,1,89,10,Summer,Location A,0,No
48,43749.5,Single,4 star restaurant,26,0,Female,0,1,Individual,Some college - no degree,0,Office & Administrative Support,0,1,67,7,Summer,Location C,1,Yes
10,43749.5,Single,2 star restaurant,26,0,Male,1,0,Individual,Associates degree,1,Management,0,4,89,22,Summer,Location B,1,Yes
48,100000,Married partner,Cold drinks,46,1,Male,0,0,With Colleagues,Bachelors degree,0,Management,1,1,89,14,Summer,Location A,1,No
10,43749.5,Single,Restaurant with pub,26,1,Female,0,0,Individual,Some college - no degree,1,Office & Administrative Support,1,3,89,7,Summer,Location B,0,No
10,100000,Married partner,Restaurant with pub,26,0,Female,1,1,With Colleagues,Bachelors degree,0,Computer & Mathematical,1,0,89,18,Summer,Location C,0,No
48,31249.5,Married partner,4 star restaurant,52,1,Female,0,0,With Colleagues,Some college - no degree,0,Education&Training&Library,1,4,67,18,Winter,Location B,1,No
10,12500,Married partner,Cold drinks,21,1,Female,0,0,With Kids,Some college - no degree,1,Sales & Related,0,3,67,14,Summer,Location A,0,No
48,56249.5,Single,Take-away restaurant,21,1,Male,0,0,Individual,High School Graduate,0,Education&Training&Library,0,1,40,10,Summer,Location B,1,Yes
48,31249.5,Single,2 star restaurant,26,1,Male,0,0,Individual,Graduate degree (Masters or Doctorate),1,Management,0,1,89,14,Summer,Location C,0,Yes
48,100000,Single,4 star restaurant,21,1,Female,1,1,Individual,Bachelors degree,0,Arts Design Entertainment Sports & Media,0,4,40,14,Summer,Location B,0,Yes
48,100000,Single,2 star restaurant,18,1,Male,0,0,Individual,Some college - no degree,1,Student,0,2,40,22,Summer,Location A,0,Yes
48,18749.5,Unmarried partner,4 star restaurant,21,0,Male,0,0,With Kids,Some college - no degree,1,Student,0,4,67,10,Spring,Location A,0,No
10,81249.5,Single,Cold drinks,46,1,Female,0,0,Individual,Graduate degree (Masters or Doctorate),1,Management,1,1,67,10,Summer,Location A,0,No
48,12500,Single,4 star restaurant,21,1,Female,0,0,With Colleagues,Some college - no degree,0,Student,0,1,89,18,Winter,Location A,0,Yes
10,100000,Married partner,4 star restaurant,36,1,Male,0,1,With Colleagues,Associates degree,1,Management,0,4,67,22,Spring,Location C,1,No
10,100000,Married partner,Cold drinks,36,0,Female,0,0,Individual,Bachelors degree,0,Computer & Mathematical,1,4,67,22,Spring,Location C,1,No
10,68749.5,Married partner,Cold drinks,41,0,Male,0,0,With Family,Graduate degree (Masters or Doctorate),1,Healthcare Support,1,2,67,7,Summer,Location C,1,No
48,18749.5,Widowed,2 star restaurant,52,0,Female,0,1,With Kids,Associates degree,1,Healthcare Support,1,2,40,18,Summer,Location A,1,Yes
10,43749.5,Single,4 star restaurant,26,1,Male,0,0,With Family,High School Graduate,1,Unemployed,0,4,67,18,Spring,Location C,1,No
48,81249.5,Married partner,2 star restaurant,36,1,Female,0,1,Individual,Associates degree,0,Healthcare Practitioners & Technical,1,4,67,14,Spring,Location A,1,No
10,56249.5,Single,Cold drinks,31,0,Female,1,1,With Family,Bachelors degree,1,Community & Social Services,0,2,89,7,Spring,Location C,1,Yes
10,18749.5,Unmarried partner,2 star restaurant,52,0,Male,0,0,With Kids,High School Graduate,1,Computer & Mathematical,1,2,89,18,Summer,Location A,0,Yes
48,18749.5,Single,2 star restaurant,26,1,Female,0,1,Individual,Bachelors degree,1,Arts Design Entertainment Sports & Media,0,2,67,7,Summer,Location C,1,Yes
48,18749.5,Unmarried partner,Take-away restaurant,26,0,Male,0,0,Individual,Some college - no degree,0,Transportation & Material Moving,1,4,89,18,Winter,Location B,0,No
48,68749.5,Single,Cold drinks,18,1,Male,0,1,With Colleagues,Some college - no degree,1,Student,0,2,67,14,Summer,Location A,1,Yes
48,31249.5,Married partner,Cold drinks,41,1,Male,0,0,Individual,Some college - no degree,0,Arts Design Entertainment Sports & Media,1,1,40,18,Summer,Location B,0,No
10,81249.5,Married partner,4 star restaurant,52,0,Female,0,1,With Kids,Associates degree,0,Office & Administrative Support,1,1,67,7,Spring,Location C,0,No
10,100000,Unmarried partner,2 star restaurant,21,1,Female,0,0,With Colleagues,Bachelors degree,1,Student,1,4,40,14,Winter,Location A,1,No
48,100000,Married partner,4 star restaurant,41,1,Male,0,1,With Colleagues,Bachelors degree,1,Education&Training&Library,0,2,67,7,Summer,Location A,1,No
48,81249.5,Married partner,Cold drinks,41,1,Female,1,0,With Family,Graduate degree (Masters or Doctorate),1,Computer & Mathematical,1,3,67,22,Winter,Location C,0,No
48,12500,Single,Restaurant with pub,21,0,Male,0,1,Individual,Some college - no degree,1,Student,0,3,67,22,Summer,Location B,1,No
10,93749.5,Married partner,2 star restaurant,21,1,Female,0,1,With Family,Some college - no degree,0,Unemployed,1,1,89,10,Summer,Location A,1,No
48,56249.5,Married partner,4 star restaurant,36,0,Male,1,0,Individual,Bachelors degree,0,Computer & Mathematical,1,2,89,18,Summer,Location B,0,No
48,100000,Married partner,Take-away restaurant,31,1,Female,1,0,With Colleagues,Some college - no degree,0,Computer & Mathematical,0,0,89,22,Spring,Location B,1,No
10,56249.5,Unmarried partner,2 star restaurant,21,1,Female,0,1,With Colleagues,Some college - no degree,1,Computer & Mathematical,0,3,89,10,Summer,Location A,1,Yes
48,81249.5,Single,2 star restaurant,31,1,Male,0,0,Individual,Graduate degree (Masters or Doctorate),0,Legal,0,1,67,7,Winter,Location C,0,No
10,43749.5,Married partner,Cold drinks,26,1,Female,0,0,With Colleagues,Bachelors degree,1,Architecture & Engineering,1,1,89,10,Summer,Location C,0,Yes
10,18749.5,Single,Cold drinks,21,1,Male,1,1,Individual,High School Graduate,1,Unemployed,1,1,89,18,Summer,Location B,0,Yes
10,81249.5,Unmarried partner,4 star restaurant,31,1,Female,0,0,Individual,Some college - no degree,0,Office & Administrative Support,0,4,89,18,Summer,Location C,1,No
48,18749.5,Single,Restaurant with pub,21,0,Male,0,1,With Colleagues,Some college - no degree,0,Student,0,0,67,14,Summer,Location B,0,Yes
48,18749.5,Unmarried partner,Cold drinks,21,0,Female,0,1,With Family,Bachelors degree,0,Education&Training&Library,0,3,89,18,Winter,Location A,0,Yes
10,68749.5,Single,Restaurant with pub,18,1,Male,0,1,Individual,Some college - no degree,0,Student,0,0,89,18,Summer,Location B,1,Yes
10,43749.5,Unmarried partner,2 star restaurant,21,1,Female,0,0,With Colleagues,High School Graduate,0,Student,0,0,89,18,Spring,Location C,0,Yes
48,18749.5,Single,Cold drinks,36,1,Male,0,0,Individual,Bachelors degree,0,Business & Financial,0,0,40,10,Summer,Location B,0,No
10,68749.5,Married partner,4 star restaurant,26,0,Female,0,1,Individual,Graduate degree (Masters or Doctorate),1,Unemployed,0,2,67,18,Summer,Location A,0,Yes
10,81249.5,Married partner,4 star restaurant,21,1,Female,1,1,With Kids,Bachelors degree,1,Arts Design Entertainment Sports & Media,0,0,67,22,Summer,Location C,0,No
10,18749.5,Unmarried partner,Cold drinks,36,0,Female,0,0,With Kids,Some college - no degree,0,Student,1,0,89,10,Summer,Location A,1,Yes
48,68749.5,Unmarried partner,2 star restaurant,31,1,Male,0,1,With Kids,Some college - no degree,1,Sales & Related,0,0,89,22,Summer,Location C,0,Yes
10,18749.5,Married partner,Take-away restaurant,21,0,Male,0,1,With Family,Some college - no degree,0,Student,1,0,40,18,Spring,Location C,0,No
10,12500,Single,4 star restaurant,21,1,Female,0,0,With Family,High School Graduate,0,Computer & Mathematical,1,0,67,10,Summer,Location A,0,No
48,100000,Single,Take-away restaurant,21,0,Male,1,1,Individual,Bachelors degree,1,Sales & Related,0,0,89,22,Summer,Location B,1,Yes
10,31249.5,Married partner,Cold drinks,52,1,Female,0,0,With Kids,Associates degree,0,Arts Design Entertainment Sports & Media,1,2,89,10,Summer,Location A,0,No
10,68749.5,Married partner,Cold drinks,31,0,Male,0,0,With Family,Graduate degree (Masters or Doctorate),0,Education&Training&Library,0,1,40,14,Spring,Location A,1,No
48,31249.5,Single,Cold drinks,31,1,Female,0,0,With Colleagues,Bachelors degree,0,Sales & Related,0,2,89,14,Summer,Location A,1,No
10,100000,Married partner,Take-away restaurant,52,1,Male,0,1,Individual,Some college - no degree,0,Business & Financial,1,4,67,7,Winter,Location C,0,Yes
10,43749.5,Single,Take-away restaurant,26,1,Male,1,1,With Family,Some college - no degree,1,Healthcare Support,0,4,89,7,Winter,Location C,1,No
10,100000,Married partner,Restaurant with pub,46,0,Male,0,1,With Family,Bachelors degree,0,Community & Social Services,1,1,40,22,Summer,Location A,1,Yes
10,18749.5,Unmarried partner,Take-away restaurant,26,0,Female,0,0,With Kids,Some college - no degree,0,Unemployed,0,1,40,14,Spring,Location A,1,No
